北京 北京首都国际机场 PEK 南苑机场 NAY 北京大兴国际机场 PKX
天津 天津滨海国际机场 TSN 
上海 上海虹桥国际机场 SHA 上海浦东国际机场 PVG 
重庆 万州五桥机场 WXN 重庆江北国际机场 CKG 
河北 秦皇岛山海关机场 SHP 石家庄正定机场 SJW 
山西 长治机场 CIH 大同机场 DAT 
内蒙古 包头东河机场 BAV 赤峰玉龙机场 CIF 
江苏 南京禄口国际机场 NKG 无锡硕放机场 WUX 
浙江 杭州萧山国际机场 HGH 宁波栎社国际机场 NGB 
安徽 合肥骆岗机场 HFE 庆阳机场 IQN 
福建 福州长乐国际机场 FOC 泉州晋江机场 JJN 
江西 赣州黄金机场 KOW 吉安井冈山机场 JGS 
山东 济南国际机场 TNA 青岛国际机场 TAO 
四川 成都双流国际机场 CTU 绵阳南郊机场 MIG 
贵州 遵义茅台机场贵阳龙洞堡机场 KWE 
云南 昆明长水国际机场 KMG 大理机场 DLU 
西藏 拉萨贡嘎机场 LXA 林芝机场 LZY 
辽宁 朝阳机场 CHG 大连周水子国际机场 DLC 
吉林 长春龙嘉国际机场 CGQ 延吉朝阳川机场 YNJ 
黑龙江 哈尔滨太平国际机场 HRB 黑河瑷珲机场 HEK 
河南 洛阳北郊机场 LYA 郑州新郑国际机场 CGO 
湖北 恩施许家坪机场 ENH 武汉天河国际机场 WUH 
湖南 长沙黄花国际机场 CSX 常德桃花源机场 CGD 
广东 广东梅县机场 MXZ 广东湛江机场 ZHA 
广西 北海福成机场 BHY 桂林两江机场 KWL 
海南 海口美兰国际机场 HAK 三亚凤凰国际机场 SYX 
陕西 安康机场 AKA 汉中机场 HZG 
甘肃 敦煌机场 DNH 嘉峪关机场 JGN 
青海 格尔木机场 GOQ 西宁曹家堡机场 XNN 
宁夏 银川河东机场 INC 中卫香山机场 ZHY 
